4;26;738
4;39;850
4;63;600
4;69;180
4;95;681
4;140;849
4;146;146
4;173;145
4;174;180
26;4;738
26;39;150
26;63;540
26;69;630
26;95;840
26;140;210
26;146;558
26;173;720
26;174;600
39;4;850
39;26;150
39;63;600
39;69;630
39;95;840
39;140;210
39;146;558
39;173;720
39;174;600
63;4;600
63;26;540
63;39;600
63;69;480
63;95;1440
63;140;600
63;146;540
63;173;540
63;174;540
69;4;180
69;26;630
69;39;600
69;63;480
69;95;1440
69;140;800
69;146;800
69;173;800
69;174;800
95;4;681
95;26;840
95;39;1440
95;63;1440
95;69;1440
95;95;1440
95;140;1440
95;146;1440
95;173;1440
95;174;1440
140;4;849
140;26;210
140;39;200
140;63;800
140;69;800
140;95;800
140;146;800
140;173;730
140;174;740
146;4;146
146;26;558
146;39;800
146;63;800
146;69;800
146;95;800
146;140;800
146;173;180
146;174;60
173;4;145
173;26;720
173;39;800
173;63;540
173;69;210
173;95;960
173;140;660
173;146;180
173;174;60
174;4;180
174;26;600
174;39;740
174;63;540
174;69;210
174;95;960
174;140;720
174;146;180
174;173;60
